id,name,price,rating,phone,latitude,longitude
coffee-project-new-york-new-york,Coffee Project New York,$$,4.5,(212) 228-7888,40.72699,-73.98922
l-industrie-pizzeria-brooklyn,L'industrie Pizzeria,$,5.0,(718) 599-0002,40.71162,-73.95783
periscope-coffee-new-york,Periscope Coffee,$,5.0,,40.7048841333,-74.0089771816
la-contenta-new-york,La Contenta,$$,4.5,(212) 432-4180,40.71873,-73.98691
ruffian-wine-bar-and-chefs-table-new-york,Ruffian Wine Bar & Chef's Table,$$,5.0,(212) 777-0855,40.7264,-73.98411
mountain-province-brooklyn,Mountain Province,$,4.5,(718) 387-7030,40.7075228032,-73.9503787374
pita-palace-brooklyn,Pita Palace,$,5.0,(718) 383-0550,40.7172485,-73.9448511
los-mariscos-new-york,Los Mariscos,$,4.5,(212) 920-4986,40.74207,-74.00565
l-appart-new-york,L'Appart,$$$$,5.0,(212) 981-8577,40.71156,-74.01533
miscelanea-ny-new-york,Miscelanea NY,$,5.0,(212) 253-0277,40.72686,-73.99075
babas-pierogies-brooklyn,Baba's Pierogies,$$,4.5,(718) 222-0777,40.67687,-73.98633
pisillo-italian-panini-new-york,Pisillo Italian Panini,$$,4.5,(212) 227-3104,40.7104975,-74.0076675
mughlai-new-york-2,Mughlai,$$,5.0,(212) 533-2828,40.7210905,-73.9840446
jungsik-new-york,Jungsik,$$$$,4.5,(212) 219-0900,40.7185910159,-74.0088844299
los-tacos-no-1-new-york,Los Tacos No.1,$,4.5,(212) 256-0343,40.7425547,-74.0060838
kura-new-york,Kura,$$$$,4.5,(212) 228-1010,40.7266868,-73.9835794
matcha-cafe-wabi-new-york,Matcha Cafe Wabi,$,4.5,,40.7234758884,-73.9828663319
manousheh-new-york-2,Manousheh,$,4.5,(347) 971-5778,40.7293499,-74.00134
arcade-bakery-new-york,Arcade Bakery,$$,4.5,(212) 227-7895,40.7168697866,-74.0066022711
porto-rico-importing-company-new-york-2,Porto Rico Importing Company,$,4.5,(212) 477-5421,40.729492,-74.001621
mcnultys-tea-and-coffee-co-new-york,McNulty's Tea & Coffee Co,$$,4.5,(212) 242-5351,40.7334023,-74.0049927
kam-hing-coffee-shop-new-york-2,Kam Hing Coffee Shop,$,4.5,(212) 925-0425,40.7182480994,-73.9990044119
julianas-pizza-brooklyn-5,Juliana's Pizza,$$,4.5,(718) 596-6700,40.702615303,-73.9934159994
lella-alimentari-brooklyn,Lella Alimentari,$,5.0,(718) 599-2625,40.71516,-73.946451
divyas-kitchen-new-york,Divya's Kitchen,$$,4.5,(212) 477-4834,40.72378,-73.98849
mission-ceviche-new-york,Mission Ceviche,$$,5.0,(347) 821-6359,40.74108,-74.004628
rays-candy-store-new-york-2,Ray's Candy Store,$,4.5,(212) 505-7609,40.726324,-73.983699
the-blue-light-speak-cheesy-brooklyn-2,The Blue Light Speak Cheesy,$,5.0,(714) 519-6374,40.7297972,-73.9562161
gramercy-tavern-new-york,Gramercy Tavern,$$$$,4.5,(212) 477-0777,40.738527,-73.988417
prince-street-pizza-new-york-2,Prince Street Pizza,$,4.5,(212) 966-4100,40.7229087706,-73.9944863319
dough-brooklyn,Dough,$,4.5,(347) 533-7544,40.6890699084,-73.9570917731
despaña-new-york-2,Despaña,$$,4.5,(212) 219-5050,40.7210686,-73.9979083
simple-nyc-new-york-3,Simple NYC,$$,4.5,(646) 870-8292,40.71821,-73.99223
the-gogo-grill-new-york,The GoGo Grill,$,4.5,(646) 425-1905,40.7049245,-74.013706
beyond-sushi-union-square-new-york-4,Beyond Sushi - Union Square,$$,4.5,(646) 861-2889,40.73302,-73.9858
nish-nush-new-york,Nish Nush,$$,4.5,(212) 964-1318,40.715688,-74.007695
wah-fung-no-1-new-york,Wah Fung No 1,$,4.5,(212) 925-5175,40.71735,-73.99457
voyager-espresso-new-york,Voyager Espresso,$,5.0,(646) 885-6792,40.7087737,-74.0067282
bohemian-restaurant-new-york,Bohemian Restaurant,$$$,4.5,(212) 388-1070,40.72639,-73.99236
